weathermodificationref,weathermodificationsystemid,weathermodificationid,caseref,weathermodification_type,createdby,createdate,lastupdatedby,lastupdatedon
WM/JO/100,JO,100,C/EGD/2259,Storm,jhm,2002-01-23T11:38:55,jhm,2002-01-23T11:38:59
WM/JO/101,JO,101,C/EGD/2162,Storm,jhm,2002-06-03T15:20:43,jhm,2002-06-03T15:20:45
WM/JO/105,JO,105,C/EGD/1533,Storm,jhm,2002-08-27T09:43:47,jhm,2002-08-27T09:43:48
WM/JO/6,JO,6,C/JO/2882,,jhm,2001-09-07T12:22:59,jhm,2001-09-07T12:32:37
WM/JO/7,JO,7,C/JO/2883,Whirlwind,jhm,2001-09-07T13:03:09,jhm,2001-09-07T13:03:10
WM/LA/1,LA,1,C/EGD/160,Storm,LEM,2001-05-17T10:57:52,LEM,2001-05-17T10:58:10
WM/LA/102,LA,102,C/EGD/184,Storm,LEM,2002-07-12T13:28:02,LEM,2002-07-12T13:28:04
WM/LA/103,LA,103,C/EGD/783,Storm,LEM,2002-07-15T16:35:53,LEM,2002-07-15T16:36:19
WM/LA/104,LA,104,C/EGD/1558,Wind,LEM,2002-08-22T11:19:14,LEM,2002-08-22T11:19:15
WM/LA/106,LA,106,C/EGD/1224,Tempest,LEM,2002-11-18T15:55:07,LEM,2002-11-18T15:55:15
WM/LA/107,LA,107,C/EGD/1225,Tempest,LEM,2002-11-18T16:10:15,LEM,2002-11-18T16:10:17
WM/LA/12,LA,12,C/EGD/63,Wind,LEM,2001-10-09T10:47:47,LEM,2001-10-09T10:47:51
WM/LA/2,LA,2,C/EGD/162,Storm,LEM,2001-05-18T13:05:55,LEM,2001-05-18T13:05:56
WM/LA/3,LA,3,C/EGD/165,Storm,LEM,2001-05-18T15:21:55,LEM,2001-05-18T15:22:28
WM/LA/4,LA,4,C/EGD/434,Whirlwind,LEM,2001-07-03T13:27:18,LEM,2001-07-03T13:27:28
WM/LA/5,LA,5,C/EGD/409,Whirlwind,LEM,2001-07-04T12:57:52,LEM,2001-07-04T12:57:58
WM/LA/74,LA,74,C/EGD/110,Wind,LEM,2001-10-10T09:22:07,LEM,2001-10-10T09:22:08
WM/LA/75,LA,75,C/EGD/110,Storm,LEM,2001-10-10T09:22:11,LEM,2001-10-10T09:22:12
WM/LA/8,LA,8,C/EGD/59,Wind,LEM,2001-10-09T09:51:02,LEM,2001-10-09T09:51:05
WM/LA/9,LA,9,C/EGD/59,Whirlwind,LEM,2001-10-09T09:51:06,LEM,2001-10-09T09:51:07
WM/LA/92,LA,92,C/EGD/147,Wind,LEM,2001-10-10T10:13:04,LEM,2001-10-10T10:13:05
WM/LA/93,LA,93,C/EGD/147,Storm,LEM,2001-10-10T10:13:06,LEM,2001-10-10T10:13:08
WM/LA/98,LA,98,C/EGD/104,Wind,LEM,2001-10-16T10:16:05,LEM,2001-10-16T10:16:08
WM/LA/99,LA,99,C/EGD/104,Storm,LEM,2001-10-16T10:16:09,LEM,2001-10-16T10:16:11
